0.0011,0.0050456,19.939,0.24145,0.34102
0.0011,0.0044822,15.593,0.22757,0.2688
0.0011,0.0032155,20.887,0.20981,0.35653
0.0012,0.0050456,26.792,0.25219,0.45075
0.0013,0.0050202,NaN,0.26182,NaN
0.0014,0.0048439,23.912,0.26689,0.40533
0.0015,0.0048439,NaN,0.27626,NaN
0.0015,0.0057952,27.401,0.30217,0.46022
0.0016,0.0057952,28.225,0.31208,0.47294
0.0017,0.0057952,NaN,0.32169,NaN
0.0018,0.0070078,31.751,0.364,0.52623
0.0018,0.0070054,22.251,0.36394,0.37866
0.002,0.0069171,30.947,0.3812,0.51424
0.0021,0.0069171,31.926,0.39061,0.52882
0.0021,0.0059628,36.149,0.40641,0.58989
0.0021,0.0074522,21.593,0.40544,0.36801
0.0024,0.007866,33.69,0.44531,0.5547
0.0024,0.0064708,38.96,0.47665,0.62878
0.0024,0.0056164,45,0.51163,0.70711
0.0024,0.0039807,48.069,0.60772,0.74395
0.0026,0.0039982,55.693,0.68374,0.82603
0.0026,0.0082732,29.055,0.47533,0.48565
0.0026,0.0052879,46.79,0.59455,0.72885
0.0026,0.0074745,38.128,0.50008,0.61742
0.0031,0.007866,52.253,0.63465,0.79072
0.0031,0.0088239,38.353,0.59921,0.6205
0.0031,0.0085519,39.13,0.60866,0.63108
0.0031,0.0089834,36.033,0.59387,0.58825
0.0031,0.0045726,59.744,0.83239,0.86378
0.0031,0.0034698,70.3,0.95556,0.94147
0.0033,0.0088239,46.091,0.65812,0.72044
0.0033,0.0047191,76.626,0.89993,0.97288
0.0033,0.0057555,62.159,0.81488,0.88425
0.0037,0.0088239,54.121,0.78134,0.81026
0.0037,0.0074617,59,0.84967,0.85717
0.0037,0.005401,74.079,0.99869,0.96164
0.0039,0.0088239,70.598,0.84554,0.94321
0.0039,0.0070207,NaN,0.94792,NaN
